,title,price,link
0,"Acer Aspire Lite 13th Gen Intel
                                        Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB
                                        SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel
                                        Gray, 1.59 KG  ","33,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MTM0NDE3NzMyNDY2NDExOjE3MjU0MzQzNDA6c3BfYXRmOjMwMDI4MDMxNDIxMDgzMjo6MDo6&url=%2FAcer-i3-1305U-Premium-Windows-AL15-53%2Fdp%2FB0DB1SDB87%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2XY1OKBWIK0FH%26dib%3DeyJ2IjoiMSJ9.xs080xlztH2YMlhp2jP0k5oWtWcdPBPWNaNdaPkXvBBcHmZvn4lyYvqHoWDH1Sc0d015FXCXJBuT7Kfv74Z87S-FvWVfV4DpyjoVTSByw6lvADbxJiSn_snSPx2tl-uWph7kZ7CfY9lU0dSc7sApWwNjwi7uaOHLW4J8-dO_5nrDdNioSyLQtekNPM-MmkO9jqn-DH3gSGEj-ElcNcTrHWT9NkX1IMNLtcndd19AlYc.BJEm9X5B-o3mOxgX9BZc29NnWbJNcXbVK7b80UQePAM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725434340%26sprefix%3Dlaptop%252Caps%252C239%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"MSI Crosshair 16 HX, Intel 14th Gen. i7-14700HX, 41CM QHD+ 240Hz Gaming Laptop(32GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4070, GDDR6 8GB/Cosmos Gray/2.5Kg), D14VGKG-205IN  ","1,79,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MTM0NDE3NzMyNDY2NDExOjE3MjU0MzQzNDA6c3BfYXRmOjMwMDMyMDY2OTc2NDYzMjo6MDo6&url=%2FMSI-Crosshair-16-i7-14700HX-D14VGKG-205IN%2Fdp%2FB0CVKZ9HQN%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2XY1OKBWIK0FH%26dib%3DeyJ2IjoiMSJ9.xs080xlztH2YMlhp2jP0k5oWtWcdPBPWNaNdaPkXvBBcHmZvn4lyYvqHoWDH1Sc0d015FXCXJBuT7Kfv74Z87S-FvWVfV4DpyjoVTSByw6lvADbxJiSn_snSPx2tl-uWph7kZ7CfY9lU0dSc7sApWwNjwi7uaOHLW4J8-dO_5nrDdNioSyLQtekNPM-MmkO9jqn-DH3gSGEj-ElcNcTrHWT9NkX1IMNLtcndd19AlYc.BJEm9X5B-o3mOxgX9BZc29NnWbJNcXbVK7b80UQePAM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725434340%26sprefix%3Dlaptop%252Caps%252C239%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN  ","25,990",https://amazon.in//Lenovo-IdeaPad-Celeron-Warranty-82V6009LIN/dp/B0D6Z2H2HR/ref=sr_1_6?crid=2XY1OKBWIK0FH&dib=eyJ2IjoiMSJ9.xs080xlztH2YMlhp2jP0k5oWtWcdPBPWNaNdaPkXvBBcHmZvn4lyYvqHoWDH1Sc0d015FXCXJBuT7Kfv74Z87S-FvWVfV4DpyjoVTSByw6lvADbxJiSn_snSPx2tl-uWph7kZ7CfY9lU0dSc7sApWwNjwi7uaOHLW4J8-dO_5nrDdNioSyLQtekNPM-MmkO9jqn-DH3gSGEj-ElcNcTrHWT9NkX1IMNLtcndd19AlYc.BJEm9X5B-o3mOxgX9BZc29NnWbJNcXbVK7b80UQePAM&dib_tag=se&keywords=laptop&qid=1725434340&sprefix=laptop%2Caps%2C239&sr=8-6
3,"Dell Gaming G15-5530 Laptop, Intel 13th Gen i7-13650HX Processor, 16GB DDR5 + 1TB SSD, NVIDIA RTX 3050 6 GB GDDR6, 15.6"" (39.62cm) FHD Narrow 120Hz, 4-Zone RGB Backlit KB, Dark Shadow Gray, 2.65 Kg  ","1,00,424",https://amazon.in//Dell-G15-5530-i7-13650HX-Processor-39-62cm/dp/B0D836HWHX/ref=sr_1_68?crid=2XY1OKBWIK0FH&dib=eyJ2IjoiMSJ9.LWySyhNzYfG2VD6MpKc0ttGIIeT6GjUyrH0Km5zTtALF8Y1oKVeZhwId0iWtpikjXmu2v8sndywT3m3Rxu75xTnRLNZZxf24giJAeF3wp07Uzh8x3rdPHeP9BxVpkRiONDsc3Z3UrDwzTqSrx0ZsJ09I39wtQ4v1WpGrk3kASy5oEcx_VLCOhVqbCI9TOoc9VIYkUHfu_n4BbYXoWHUBNc38NrT5Hi13BO0OcQjeYg8.xaF52z65U9PzA4f8xoRRv5eOW62A1WVQGM-6aD_R95Q&dib_tag=se&keywords=laptop&qid=1725434356&sprefix=laptop%2Caps%2C239&sr=8-68
4,"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 14â€‘core CPU and 30â€‘core GPU, 36GB Unified Memory, 1TB) - Space Black  ","3,28,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMjMyNDk4MzQ1MTU4OTgzOjE3MjU0MzQzNTY6c3BfYnRmOjMwMDA4NTQwMzIxOTUzMjo6MDo6&url=%2FApple-MacBook-16-inch-14%25E2%2580%2591core-30%25E2%2580%2591core%2Fdp%2FB0CM5S7HF6%2Fref%3Dsr_1_69_sspa%3Fcrid%3D2XY1OKBWIK0FH%26dib%3DeyJ2IjoiMSJ9.LWySyhNzYfG2VD6MpKc0ttGIIeT6GjUyrH0Km5zTtALF8Y1oKVeZhwId0iWtpikjXmu2v8sndywT3m3Rxu75xTnRLNZZxf24giJAeF3wp07Uzh8x3rdPHeP9BxVpkRiONDsc3Z3UrDwzTqSrx0ZsJ09I39wtQ4v1WpGrk3kASy5oEcx_VLCOhVqbCI9TOoc9VIYkUHfu_n4BbYXoWHUBNc38NrT5Hi13BO0OcQjeYg8.xaF52z65U9PzA4f8xoRRv5eOW62A1WVQGM-6aD_R95Q%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725434356%26sprefix%3Dlaptop%252Caps%252C239%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
5,"Lenovo Thinkpad P14s 13th Gen Intel Core i7 14""(35.56 cm) WUXGA IPS 300nits Thin and Light Workstation (16GB/512GB SSD/Win 11 Pro/Backlit/Villi Black/3Y Premier/NVIDIA RTX A500 4GB/1.34Kg), 21HF001FIG  ","1,29,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMjMyNDk4MzQ1MTU4OTgzOjE3MjU0MzQzNTY6c3BfYnRmOjMwMDE2NjY3MzE0NDUzMjo6MDo6&url=%2FLenovo-Thinkpad-300nits-Workstation-21HF001FIG%2Fdp%2FB0CVQZTV6V%2Fref%3Dsr_1_70_sspa%3Fcrid%3D2XY1OKBWIK0FH%26dib%3DeyJ2IjoiMSJ9.LWySyhNzYfG2VD6MpKc0ttGIIeT6GjUyrH0Km5zTtALF8Y1oKVeZhwId0iWtpikjXmu2v8sndywT3m3Rxu75xTnRLNZZxf24giJAeF3wp07Uzh8x3rdPHeP9BxVpkRiONDsc3Z3UrDwzTqSrx0ZsJ09I39wtQ4v1WpGrk3kASy5oEcx_VLCOhVqbCI9TOoc9VIYkUHfu_n4BbYXoWHUBNc38NrT5Hi13BO0OcQjeYg8.xaF52z65U9PzA4f8xoRRv5eOW62A1WVQGM-6aD_R95Q%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725434356%26sprefix%3Dlaptop%252Caps%252C239%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
6,"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Metal Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG  ","45,499",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MzkwMTI3NzgwNDMyMDkzOjE3MjU0MzQzNjE6c3BfYXRmX25leHQ6MzAwMTY0NTEzNTgzNjMyOjowOjo&url=%2FAcer-i5-1235U-Windows-Graphics-AL15-52%2Fdp%2FB0CY1YWC3Y%2Fref%3Dsr_1_65_sspa%3Fcrid%3D2XY1OKBWIK0FH%26dib%3DeyJ2IjoiMSJ9.CX4PpikaQj_wG2VzCk2bJCQMVm-Ajj7Oa5byXZLJvLG5NuINVKpMNX3udt-MjBZxI_Rp0ju2u0yUAJI-xM2CAp3RIhyVJf59CnUoqU3DbN-JNQtoHdHHqeRFfY0D_G1PNHToqXxdEalwrFx6mqUCXJSbrgwtg_h5WiRd_5gZ0n6pX5dgSHJ0U42cg3yHmFM-tX3Emdjp4o43tErGyGOaqS5KAmrIxcd9XtwvWP1aieI.cN6Fr1Rdap6VTHj2cSpKCUtIZJdCPhW7JoYb_SAZFj4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725434361%26sprefix%3Dlaptop%252Caps%252C239%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
7,"cocopar Portable Monitor 15.6 Inch 1080P Travel Monitor with Speaker HDMI USB-C External Monitor for Laptop MacBook Surface PC PS5, with Cover Stand VESA  ","18,999",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MzkwMTI3NzgwNDMyMDkzOjE3MjU0MzQzNjE6c3BfYXRmX25leHQ6MzAwMTI4NDIwMjE1MjMyOjowOjo&url=%2Fcocopar-Portable-Monitor-Speaker-External%2Fdp%2FB0CRB4HZNS%2Fref%3Dsr_1_66_sspa%3Fcrid%3D2XY1OKBWIK0FH%26dib%3DeyJ2IjoiMSJ9.CX4PpikaQj_wG2VzCk2bJCQMVm-Ajj7Oa5byXZLJvLG5NuINVKpMNX3udt-MjBZxI_Rp0ju2u0yUAJI-xM2CAp3RIhyVJf59CnUoqU3DbN-JNQtoHdHHqeRFfY0D_G1PNHToqXxdEalwrFx6mqUCXJSbrgwtg_h5WiRd_5gZ0n6pX5dgSHJ0U42cg3yHmFM-tX3Emdjp4o43tErGyGOaqS5KAmrIxcd9XtwvWP1aieI.cN6Fr1Rdap6VTHj2cSpKCUtIZJdCPhW7JoYb_SAZFj4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725434361%26sprefix%3Dlaptop%252Caps%252C239%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
8,"Dell New Inspiron 14 Plus Laptop with AI Enabled Intel Evo Powered Core Ultra 7 155H Processor, 16GB LPDDR5X, 1TB SSD, 14"" (35.56cm) 2.2K 300nits, Win 11 + MSO'21, Backlit KB + FPR, Ice Blue, 1.24kg  ","97,989",https://amazon.in//Dell-Inspiron-Enabled-Powered-Processor/dp/B0CYLXZ28F/ref=sr_1_67?crid=2XY1OKBWIK0FH&dib=eyJ2IjoiMSJ9.CX4PpikaQj_wG2VzCk2bJCQMVm-Ajj7Oa5byXZLJvLG5NuINVKpMNX3udt-MjBZxI_Rp0ju2u0yUAJI-xM2CAp3RIhyVJf59CnUoqU3DbN-JNQtoHdHHqeRFfY0D_G1PNHToqXxdEalwrFx6mqUCXJSbrgwtg_h5WiRd_5gZ0n6pX5dgSHJ0U42cg3yHmFM-tX3Emdjp4o43tErGyGOaqS5KAmrIxcd9XtwvWP1aieI.cN6Fr1Rdap6VTHj2cSpKCUtIZJdCPhW7JoYb_SAZFj4&dib_tag=se&keywords=laptop&qid=1725434361&sprefix=laptop%2Caps%2C239&sr=8-67
9,"Acer Aspire Lite AMD Ryzen 5-5500U Processor Premium Laptop (16GB RAM/512GB SSD/Win11 Home/AMD Radeon Graphics) AL15-41, 39.62cm(15.6"") Full HD Display, Multi Color Backlit Keyboard, Steel Gray,1.59KG  ","34,790",https://amazon.in//Acer-Processor-Graphics-AL15-41-Keyboard/dp/B0D4Z8WF34/ref=sr_1_68?crid=2XY1OKBWIK0FH&dib=eyJ2IjoiMSJ9.CX4PpikaQj_wG2VzCk2bJCQMVm-Ajj7Oa5byXZLJvLG5NuINVKpMNX3udt-MjBZxI_Rp0ju2u0yUAJI-xM2CAp3RIhyVJf59CnUoqU3DbN-JNQtoHdHHqeRFfY0D_G1PNHToqXxdEalwrFx6mqUCXJSbrgwtg_h5WiRd_5gZ0n6pX5dgSHJ0U42cg3yHmFM-tX3Emdjp4o43tErGyGOaqS5KAmrIxcd9XtwvWP1aieI.cN6Fr1Rdap6VTHj2cSpKCUtIZJdCPhW7JoYb_SAZFj4&dib_tag=se&keywords=laptop&qid=1725434361&sprefix=laptop%2Caps%2C239&sr=8-68
